,Source,DeviceId,t_nano,t_sec,MemKind,Bytes,MegaBytes,OpType
119,zfp_rate8_4gpu_10iter-each.json,1,8286629029,8.286629029,2,100000000,95.367431640625,allocation
120,zfp_rate8_4gpu_10iter-each.json,1,8287458313,8.287458313,2,-100000000,-95.367431640625,deallocation
121,zfp_rate8_4gpu_10iter-each.json,1,8288556868,8.288556868,1,-100000000,-95.367431640625,deallocation
122,zfp_rate8_4gpu_10iter-each.json,1,8305340934,8.305340934,2,-100000000,-95.367431640625,deallocation
123,zfp_rate8_4gpu_10iter-each.json,1,8305662218,8.305662218,2,-25000024,-23.841880798339844,deallocation
124,zfp_rate8_4gpu_10iter-each.json,2,8345869738,8.345869738000001,1,100000000,95.367431640625,allocation
125,zfp_rate8_4gpu_10iter-each.json,2,8370417269,8.370417269,2,100000000,95.367431640625,allocation
126,zfp_rate8_4gpu_10iter-each.json,2,8378685328,8.378685328000001,2,25000024,23.841880798339844,allocation
127,zfp_rate8_4gpu_10iter-each.json,2,8378958260,8.378958260000001,2,100000000,95.367431640625,allocation
128,zfp_rate8_4gpu_10iter-each.json,2,8379783622,8.379783622,2,-100000000,-95.367431640625,deallocation
129,zfp_rate8_4gpu_10iter-each.json,2,8380903840,8.38090384,1,-100000000,-95.367431640625,deallocation
130,zfp_rate8_4gpu_10iter-each.json,2,8397959627,8.397959627,2,-100000000,-95.367431640625,deallocation
131,zfp_rate8_4gpu_10iter-each.json,2,8398301830,8.398301830000001,2,-25000024,-23.841880798339844,deallocation
132,zfp_rate8_4gpu_10iter-each.json,3,8438955713,8.438955713,1,100000000,95.367431640625,allocation
133,zfp_rate8_4gpu_10iter-each.json,3,8463655437,8.463655437,2,100000000,95.367431640625,allocation
134,zfp_rate8_4gpu_10iter-each.json,3,8471951336,8.471951336,2,25000024,23.841880798339844,allocation
135,zfp_rate8_4gpu_10iter-each.json,3,8472236390,8.47223639,2,100000000,95.367431640625,allocation
136,zfp_rate8_4gpu_10iter-each.json,3,8473050491,8.473050491,2,-100000000,-95.367431640625,deallocation
137,zfp_rate8_4gpu_10iter-each.json,3,8474172666,8.474172666000001,1,-100000000,-95.367431640625,deallocation
138,zfp_rate8_4gpu_10iter-each.json,3,8490953956,8.490953956,2,-100000000,-95.367431640625,deallocation
139,zfp_rate8_4gpu_10iter-each.json,3,8491292087,8.491292087,2,-25000024,-23.841880798339844,deallocation
